--- DESC ---
ID   ShortName
DE   Family description
AU   Bateman A;0000-0002-6982-4660
SE   ECOD:A0L978_TED01/Iterate/Iterate/Iterate
GA   27.00 27.00;
TC   33.60 31.00;
NC   22.80 20.60;
BM   hmmbuild  -o /dev/null HMM SEED
SM   hmmsearch -Z 90746521 --cpu 8 -E 1000 HMM pfamseq
TP   Family

--- End DESC ---

--- species summary ---
The species distribution showing number of matches at each taxonomic rank.

Number  Rank    Taxon
6	5	Flavobacteriaceae
6	4	Flavobacteriales
6	4	Bacteroidales
9	3	Bacteroidia
6	3	Flavobacteriia
11	3	Gammaproteobacteria
19	2	Bacteroidota
16	2	Pseudomonadota
8	1	Bacillati
41	1	Pseudomonadati
49	0	Bacteria
Total of 50 proteins found

--- End species ---

--- sp.seq_info (SwissProt entries) ---
SwissProt/UniProt annotations for sequences in this family.


--- End sp.seq_info ---

--- Domain architectures ---
Example domain architectures. Indented lines show domain regions in the protein.
Lines starting with 'Iterate' or not starting with PFXXXXX are the domain we are considering.

A0A1T0CRF5	UNCHARACTERIZED PROTEIN {    158.6    3.3e-43   1   1.0   4.1
	Iterate                   	    14	   143	   158.3

A0A252B1T2	PHAGE-BARNASE-ENDOU-COLIC    164.9    3.6e-45   1   1.0   0.1
	Iterate                   	    11	   141	   164.7

A0A512H8I4	PHAGE-BARNASE-ENDOU-COLIC    165.7    2.1e-45   1   1.0   0.4
	Iterate                   	     9	   139	   165.5

A0A6J4FMD0	UNCHARACTERIZED PROTEIN {    160.6      8e-44   1   1.0   0.1
	Iterate                   	     9	   138	   160.3

A0A8J2ZI76	UNCHARACTERIZED PROTEIN {    162.4    2.3e-44   1   1.0   0.4
	Iterate                   	     9	   138	   162.2


--- End arch ---

--- UniProt Bibliography ---
Potentially relevant papers to include. Use Pubmed connector to add highly relevant papers to DESC.

# No bibliography entries found

--- End UniProt Bibliography ---

--- TED ---
TED domain architectures. The percentage value at the end is the percentage overlap
with the domain/family of interest.

Protein_Accession	TED_Domains	Domain_Count	Domain_IDs	Domain_Ranges	Overlap_with_Pfam
A0A5C6ZKB7.1	AF-A0A5C6ZKB7-F1-model_v4_TED01:9-147	1	AF-A0A5C6ZKB7-F1-model_v4_TED01	9-147	100.0%
A0A5M6CPX4.1	AF-A0A5M6CPX4-F1-model_v4_TED01:21-162	1	AF-A0A5M6CPX4-F1-model_v4_TED01	21-162	99.3%
A0A6J4FMD0.1	AF-A0A6J4FMD0-F1-model_v4_TED01:11-150	1	AF-A0A6J4FMD0-F1-model_v4_TED01	11-150	98.5%
A0A6L8VMP9.1	AF-A0A6L8VMP9-F1-model_v4_TED01:13-153	1	AF-A0A6L8VMP9-F1-model_v4_TED01	13-153	98.5%
A0A7W6GY08.1	AF-A0A7W6GY08-F1-model_v4_TED01:13-153	1	AF-A0A7W6GY08-F1-model_v4_TED01	13-153	98.5%
A0A844B643.1	AF-A0A844B643-F1-model_v4_TED01:12-163	1	AF-A0A844B643-F1-model_v4_TED01	12-163	100.0%
A0L978.1	AF-A0L978-F1-model_v4_TED01:13-138	1	AF-A0L978-F1-model_v4_TED01	13-138	98.4%
D4S222.1	AF-D4S222-F1-model_v4_TED01:24-176	1	AF-D4S222-F1-model_v4_TED01	24-176	99.3%
D4YMA2.1	AF-D4YMA2-F1-model_v4_TED01:4-169	1	AF-D4YMA2-F1-model_v4_TED01	4-169	99.3%
D8FA72.1	AF-D8FA72-F1-model_v4_TED01:12-157	1	AF-D8FA72-F1-model_v4_TED01	12-157	100.0%
E0UTB6.1	AF-E0UTB6-F1-model_v4_TED01:17-163	1	AF-E0UTB6-F1-model_v4_TED01	17-163	100.0%
E6TVF7.1	AF-E6TVF7-F1-model_v4_TED01:15-165	1	AF-E6TVF7-F1-model_v4_TED01	15-165	98.6%
F0S991.1	AF-F0S991-F1-model_v4_TED01:10-141	1	AF-F0S991-F1-model_v4_TED01	10-141	100.0%
F8X4W8.1	AF-F8X4W8-F1-model_v4_TED01:22-175	1	AF-F8X4W8-F1-model_v4_TED01	22-175	100.0%
F9Z3B8.1	AF-F9Z3B8-F1-model_v4_TED01:16-155	1	AF-F9Z3B8-F1-model_v4_TED01	16-155	96.4%
H1DKK7.1	AF-H1DKK7-F1-model_v4_TED01:13-155	1	AF-H1DKK7-F1-model_v4_TED01	13-155	96.4%
K2IEA7.1	AF-K2IEA7-F1-model_v4_TED01:10-159	1	AF-K2IEA7-F1-model_v4_TED01	10-159	100.0%
K9EJJ9.1	AF-K9EJJ9-F1-model_v4_TED01:4-172	1	AF-K9EJJ9-F1-model_v4_TED01	4-172	100.0%
Q3JBY0.1	AF-Q3JBY0-F1-model_v4_TED01:15-156	1	AF-Q3JBY0-F1-model_v4_TED01	15-156	98.4%
Q6NIG8.1	AF-Q6NIG8-F1-model_v4_TED01:12-135	1	AF-Q6NIG8-F1-model_v4_TED01	12-135	98.4%
S9SDG7.1	AF-S9SDG7-F1-model_v4_TED01:12-153	1	AF-S9SDG7-F1-model_v4_TED01	12-153	98.5%
U1R869.1	AF-U1R869-F1-model_v4_TED01:26-183	1	AF-U1R869-F1-model_v4_TED01	26-183	100.0%
W2UKN7.1	AF-W2UKN7-F1-model_v4_TED01:15-141	1	AF-W2UKN7-F1-model_v4_TED01	15-141	100.0%

--- End TED ---

--- STRING ---
Pfam families predicted to be functionally related by STRING. Mostly not relevant for inclusion.

# STRING network domains for PFXXXXX/ShortName
# Analyzed 23 networks, showing domains in >=5 networks with Wilson >=50%
# Columns: Pfam_acc Pfam_id networks frequency wilson_lower_bound
PF12686	DUF3800	23	1.00	0.86

--- End STRING ---
